id,game,tier,tierLabel,tierColor,faction,lord,dlc,style,difficulty,length,pressure,tags,why,tip,keyMechanic
dwarfs,WH1,1,BEGINNER,#4ade80,Dwarfs,Thorgrim Grudgebearer,WH1 Base,defensive,1,Long,Low,Armoured Units;Artillery;Stubbornness,Pure stubbornness. No Chaos and no complex mechanics. Simply build a wall of stone and crush everything. Perfect for warming up.,Stick to Tunneller stacks and let the enemy come to you. Armour-piercing artillery is your best friend.,Grudge Book – every defeat suffered is recorded and must be avenged.
empire,WH1,1,BEGINNER,#4ade80,The Empire,Karl Franz,WH1 Base,offensive;defensive,2,Medium,Medium,Cavalry;Artillery;Politics,The quintessential all-rounder. Cavalry infantry artillery and magic – everything is available. Ideal for getting back into the game.,Unite the Elector Counts early – the political mechanic is simple and rewarding. Volkmar is easier for true beginners.,Elector Counts – individual provincial lords must be diplomatically united or subjugated.
greenskins,WH1,1,BEGINNER,#4ade80,Greenskins,Grimgor Ironhide,WH1 Base,aggression;horde,1,Short,Low,Horde;Waagh!;Brute Force,Brain-off aggression. Simply charge forward kill everything and trigger the Waagh! No strategic thinking required.,Stack Black Orcs and ride Grimgor into battle – he is a duel monster. Never lose the Waagh! momentum.,Waagh! – once sufficient Orc strength is reached a free ghost army is automatically spawned.
vc,WH1,2,INTERMEDIATE,#facc15,Vampire Counts,Mannfred von Carstein,WH1 Base,undead,2,Medium,Low,Undead;Necromancy;No Upkeep,Fill undead armies through battles with no recruitment costs. Simple economic concept with atmospheric troops.,Raise Dead after every battle saves enormous costs. Mannfred is a caster AND a fighter.,Undead Regeneration – fallen units are replenished on the battlefield through Necromancy.
highelves,WH1,2,INTERMEDIATE,#facc15,High Elves,Tyrion,WH1 Base,quality,2,Long,Low,Elite Units;Diplomacy;Island Start,Ulthuan as an island starting position is relaxed. Troops are expensive but powerful. A good introduction to Elven diplomacy.,No early expansion pressure – gather gold research technologies and then strike.,Intrigue Pool – diplomatic manoeuvres using a shared resource pool with other High Elf factions.
lizardmen,WH2,2,INTERMEDIATE,#facc15,Lizardmen,Kroq-Gar,WH2 Base,monster,2,Medium,Low,Dinosaurs;Monster Stack;Saurus,Dinosaurs as an army. Simple mechanics powerful frontline monsters and no complicated resource management.,Carnosaur and Stegadon create an unstoppable frontline. Kroq-Gar himself is a battle-decider.,Geomantic Web – connect temple-cities for powerful campaign bonuses.
skaven,WH2,3,ADVANCED,#f97316,Skaven,Ikit Claw,WH2 Base,tech;horde,3,Medium,Medium,Zerg Rush;Technology;Undermine,Massive Zerg-rush feel with insane technology. The atomic bomb as a weapon. Medium learning curve but enormous fun factor.,Warplightning Cannon destroys everything. Invest early in weapons research. Betray everyone – that is Skaven tradition.,Undermine – place nests beneath enemy cities for passive influence gains.
darkelves,WH2,3,ADVANCED,#f97316,Dark Elves,Lokhir Fellheart,WH2 Base,naval;raider,3,Medium,Medium,Corsairs;Black Arks;Teleport,Corsair playstyle with Black Arks. The teleport mechanic makes it uniquely mobile and aggressive on the campaign map.,Black Ark teleport gives free surprise attacks. Learn this mechanic early and use it for rapid expansion.,Black Arks – floating fortresses that can be moved across the world's oceans.
cathay,WH3,3,ADVANCED,#f97316,Grand Cathay,Miao Ying,WH3 Base,dragon;trade,3,Long,High,Yin/Yang;Silk Road;Dragon Form,The dragon transformation playstyle is unique. Cathay has exciting Silk Road trade mechanics and feels fresh compared to WH1 and WH2.,Maintain the balance between Yin and Yang. Miao Ying's dragon transformation is extremely powerful – use it in critical battles.,Yin/Yang Balance – too much of one side incurs penalties; balance grants powerful bonuses.
chaosdwarfs,WH3,4,VETERAN,#c084fc,Chaos Dwarfs,Astragoth Ironhand,Forge of the Chaos Dwarfs,industry,4,Long,Medium,Slavery;Industry;Infernal Guard,Complex economic system with slave labour and industry. One of the deepest campaign loops in the entire game.,Slave production is the engine – without slaves nothing works. Prioritise raids and pillaging from the very start.,Slave Economy – slaves as the central resource for buildings units and technology.
